Seed,Case Number,Case Start State,Solution Found,No. of moves,No. of Nodes opened,Computing Time
755,1,"[2, 2, [[4, 7, 5], [3, 8, 1], [6, 2, 0]]]",1,27,3368,0.014s
755,2,"[1, 0, [[2, 4, 7], [0, 6, 8], [1, 3, 5]]]",1,22,814,0.004s
755,3,"[2, 1, [[8, 6, 1], [7, 2, 3], [5, 0, 4]]]",1,14,44,0.001s
755,4,"[0, 0, [[0, 8, 6], [7, 1, 4], [2, 5, 3]]]",0,31,1095140,5.152s
755,5,"[1, 0, [[2, 1, 7], [0, 4, 3], [6, 5, 8]]]",1,22,1706,0.007s
755,6,"[2, 0, [[1, 4, 2], [5, 6, 3], [0, 7, 8]]]",0,31,1717512,8.005s
755,7,"[1, 2, [[2, 6, 4], [7, 3, 0], [1, 8, 5]]]",0,31,3452216,16.423s
755,8,"[0, 0, [[0, 4, 1], [5, 3, 2], [6, 8, 7]]]",1,21,466,0.003s
755,9,"[1, 0, [[2, 3, 4], [0, 1, 5], [8, 6, 7]]]",1,12,54,0.001s
755,10,"[0, 1, [[5, 0, 8], [3, 6, 4], [7, 1, 2]]]",1,26,5972,0.023s
