Seed,Case Number,Case Start State,Solution Found,No. of moves,No. of Nodes opened,Computing Time
755,1,"[2, 2, [[4, 7, 5], [3, 8, 1], [6, 2, 0]]]",1,26,4115,36.716s
755,2,"[1, 0, [[2, 4, 7], [0, 6, 8], [1, 3, 5]]]",1,21,1083,2.526s
755,3,"[2, 1, [[8, 6, 1], [7, 2, 3], [5, 0, 4]]]",1,13,140,0.049s
755,4,"[0, 0, [[0, 8, 6], [7, 1, 4], [2, 5, 3]]]",0,31,14374,455.89s
755,5,"[1, 0, [[2, 1, 7], [0, 4, 3], [6, 5, 8]]]",1,21,1046,2.278s
755,6,"[2, 0, [[1, 4, 2], [5, 6, 3], [0, 7, 8]]]",0,31,14374,433.117s
755,7,"[1, 2, [[2, 6, 4], [7, 3, 0], [1, 8, 5]]]",0,31,15526,612.754s
755,8,"[0, 0, [[0, 4, 1], [5, 3, 2], [6, 8, 7]]]",1,20,921,1.766s
755,9,"[1, 0, [[2, 3, 4], [0, 1, 5], [8, 6, 7]]]",1,11,69,0.01s
755,10,"[0, 1, [[5, 0, 8], [3, 6, 4], [7, 1, 2]]]",1,25,3014,18.758s
